Employment History,Employment Status,Age,Population estimate,Percentage within age and employment history,Percentage within age and employment status,Percentage within employment status and employment history,Country,Employment status,Percentage within country and employment history,Percentage within country and employment status,Ethnicity,Percentage within ethnicity and employment history,Percentage within ethnicity and employment status,Religion,Percentage within religion and employment history,Percentage within religion and employment status,Sex,Percentage within sex and employment history,Percentage within sex and employment status,Percentage within age,Percentage within employment history,Percentage within employment status,Percentage within religion,Percentage within sex,Percentage Estimate,Title,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,125.0,8.2,8.7,0.2,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Gypsy or Irish Traveller,4.1,1.8,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,1820.0,8.2,8.7,0.1,Wales,Economically Inactive - Retired,18.4,33.8,White: Gypsy or Irish Traveller,11.1,45.6,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,2090.0,8.2,8.7,0.0,Wales,Economically Inactive - Retired,18.4,33.8,White: Gypsy or Irish Traveller,20.8,52.2,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,90.0,8.2,8.7,0.0,Wales,Economically Inactive - Retired,18.4,33.8,White: Gypsy or Irish Traveller,2.9,2.2,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,3385.0,8.2,8.7,0.7,Wales,Economically Inactive - Other,18.4,33.8,White: Gypsy or Irish Traveller,20.6,56.5,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,1565.0,8.2,8.7,0.3,Wales,Economically Inactive - Other,18.4,33.8,White: Gypsy or Irish Traveller,15.6,26.1,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,1040.0,8.2,8.7,0.2,Wales,Economically Inactive - Other,18.4,33.8,White: Gypsy or Irish Traveller,34.7,17.4,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,1100.0,8.2,8.7,0.3,Wales,Unemployed,18.4,33.8,White: Irish,2.9,8.7,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,5120.0,8.2,8.7,0.9,Wales,Unemployed,18.4,33.8,White: Irish,3.2,40.6,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,6390.0,8.2,8.7,0.8,Wales,Unemployed,18.4,33.8,White: Irish,25.8,50.7,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,6035.0,8.2,8.7,0.4,Wales,Economically Inactive - Student,18.4,33.8,White: Irish,15.7,38.3,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,4180.0,8.2,8.7,0.9,Wales,Economically Inactive - Student,18.4,33.8,White: Irish,2.6,26.5,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,5545.0,8.2,8.7,0.9,Wales,Economically Inactive - Student,18.4,33.8,White: Irish,22.4,35.2,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,2245.0,8.2,8.7,0.3,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Irish,5.8,15.3,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,10290.0,8.2,8.7,0.8,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Irish,6.4,70.2,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2125.0,8.2,8.7,0.7,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Irish,8.6,14.5,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,6250.0,8.2,8.7,0.8,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Irish,16.3,30.4,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,13705.0,8.2,8.7,1.1,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Irish,8.5,66.6,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,620.0,8.2,8.7,0.9,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Irish,2.5,3.0,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,20510.0,8.2,8.7,1.4,Wales,Economically Inactive - Retired,18.4,33.8,White: Irish,53.4,13.8,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,122895.0,8.2,8.7,1.4,Wales,Economically Inactive - Retired,18.4,33.8,White: Irish,76.4,82.6,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,5300.0,8.2,8.7,1.3,Wales,Economically Inactive - Retired,18.4,33.8,White: Irish,21.4,3.6,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,2300.0,8.2,8.7,0.5,Wales,Economically Inactive - Other,18.4,33.8,White: Irish,6.0,19.4,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,4735.0,8.2,8.7,0.9,Wales,Economically Inactive - Other,18.4,33.8,White: Irish,2.9,40.0,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,4815.0,8.2,8.7,0.9,Wales,Economically Inactive - Other,18.4,33.8,White: Irish,19.4,40.6,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,820.0,8.2,8.7,0.3,Wales,Unemployed,18.4,33.8,White: Roma,7.9,16.9,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,1200.0,8.2,8.7,0.2,Wales,Unemployed,18.4,33.8,White: Roma,16.7,24.6,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2855.0,8.2,8.7,0.4,Wales,Unemployed,18.4,33.8,White: Roma,37.8,58.5,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,3010.0,8.2,8.7,0.2,Wales,Economically Inactive - Student,18.4,33.8,White: Roma,28.8,64.8,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,675.0,8.2,8.7,0.1,Wales,Economically Inactive - Student,18.4,33.8,White: Roma,9.4,14.5,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,960.0,8.2,8.7,0.2,Wales,Economically Inactive - Student,18.4,33.8,White: Roma,12.7,20.7,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,2585.0,8.2,8.7,0.4,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Roma,24.8,45.2,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,1995.0,8.2,8.7,0.2,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Roma,27.8,34.9,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,1135.0,8.2,8.7,0.4,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Roma,15.1,19.9,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,910.0,8.2,8.7,0.1,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Roma,8.7,44.1,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,1035.0,8.2,8.7,0.1,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Roma,14.4,50.3,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,115.0,8.2,8.7,0.2,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Roma,1.5,5.6,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,915.0,8.2,8.7,0.1,Wales,Economically Inactive - Retired,18.4,33.8,White: Roma,8.8,38.9,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,1315.0,8.2,8.7,0.0,Wales,Economically Inactive - Retired,18.4,33.8,White: Roma,18.3,55.9,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,125.0,8.2,8.7,0.0,Wales,Economically Inactive - Retired,18.4,33.8,White: Roma,1.6,5.2,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,2195.0,8.2,8.7,0.5,Wales,Economically Inactive - Other,18.4,33.8,White: Roma,21.0,39.9,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,955.0,8.2,8.7,0.2,Wales,Economically Inactive - Other,18.4,33.8,White: Roma,13.3,17.4,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2350.0,8.2,8.7,0.4,Wales,Economically Inactive - Other,18.4,33.8,White: Roma,31.2,42.8,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,16715.0,8.2,8.7,5.3,Wales,Unemployed,18.4,33.8,White: Other White,7.6,12.7,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,40680.0,8.2,8.7,6.8,Wales,Unemployed,18.4,33.8,White: Other White,11.0,30.9,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,74400.0,8.2,8.7,9.8,Wales,Unemployed,18.4,33.8,White: Other White,35.9,56.5,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,101425.0,8.2,8.7,6.2,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,46.3,55.2,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,36145.0,8.2,8.7,7.7,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,9.8,19.7,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,46120.0,8.2,8.7,7.3,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,25.1,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,35755.0,8.2,8.7,5.3,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,16.3,23.9,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,85605.0,8.2,8.7,6.4,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,23.2,57.2,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,28220.0,8.2,8.7,9.1,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,13.6,18.9,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,14560.0,8.2,8.7,1.9,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,6.6,29.9,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,30435.0,8.2,8.7,2.5,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,8.2,62.6,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,3620.0,8.2,8.7,5.3,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,1.7,7.4,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,28030.0,8.2,8.7,1.9,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,12.8,15.0,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,150080.0,8.2,8.7,1.7,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,40.6,80.2,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,8980.0,8.2,8.7,2.2,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,4.3,4.8,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,22670.0,8.2,8.7,4.8,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,10.3,23.7,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,26730.0,8.2,8.7,5.4,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,7.2,28.0,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,46080.0,8.2,8.7,8.4,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,1450.0,8.2,8.7,0.5,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Buddhist,4.7,14.3,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,4015.0,8.2,8.7,0.7,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Buddhist,7.9,39.6,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,4685.0,8.2,8.7,0.6,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Buddhist,26.2,46.1,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,9405.0,8.2,8.7,0.6,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Buddhist,30.2,57.1,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,3630.0,8.2,8.7,0.8,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Buddhist,7.2,22.1,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,3430.0,8.2,8.7,0.5,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Buddhist,19.2,20.8,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,6420.0,8.2,8.7,0.9,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Buddhist,20.6,33.3,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,9450.0,8.2,8.7,0.7,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Buddhist,18.7,49.0,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,3400.0,8.2,8.7,1.1,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Buddhist,19.0,17.6,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,2585.0,8.2,8.7,0.3,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Buddhist,8.3,27.9,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,6300.0,8.2,8.7,0.5,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Buddhist,12.5,67.9,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,390.0,8.2,8.7,0.6,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Buddhist,2.2,4.2,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,7305.0,8.2,8.7,0.5,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Buddhist,23.5,23.1,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,22860.0,8.2,8.7,0.3,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Buddhist,45.2,72.4,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,1405.0,8.2,8.7,0.3,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Buddhist,7.9,4.5,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,3975.0,8.2,8.7,0.8,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Buddhist,12.8,30.9,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,4330.0,8.2,8.7,0.9,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Buddhist,8.6,33.6,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,4565.0,8.2,8.7,0.8,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Buddhist,25.5,35.5,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,98660.0,8.2,8.7,31.4,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),4.5,16.1,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,223295.0,8.2,8.7,37.3,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),2.8,36.4,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,291580.0,8.2,8.7,38.3,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),25.4,47.5,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,515565.0,8.2,8.7,31.6,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),23.4,60.6,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,139870.0,8.2,8.7,29.6,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),1.7,16.4,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,194900.0,8.2,8.7,30.7,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),17.0,22.9,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,161220.0,8.2,8.7,23.7,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),7.3,18.4,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,587300.0,8.2,8.7,44.2,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),7.3,66.9,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,129235.0,8.2,8.7,41.8,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),11.3,14.7,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,310575.0,8.2,8.7,40.9,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),14.1,33.3,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,592085.0,8.2,8.7,49.4,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),7.3,63.5,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,29735.0,8.2,8.7,43.7,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),2.6,3.2,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,980455.0,8.2,8.7,68.1,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),44.5,12.9,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,6332270.0,8.2,8.7,73.1,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),78.4,83.5,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,271920.0,8.2,8.7,67.0,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),23.7,3.6,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,138980.0,8.2,8.7,29.5,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),6.3,24.6,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,197980.0,8.2,8.7,39.7,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),2.5,35.0,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,228710.0,8.2,8.7,41.6,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Christian (all denominations),20.0,40.4,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,7825.0,8.2,8.7,2.5,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Hindu,6.4,23.5,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,10570.0,8.2,8.7,1.8,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Hindu,8.6,31.7,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,14910.0,8.2,8.7,2.0,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Hindu,31.3,44.8,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,41615.0,8.2,8.7,2.5,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Hindu,34.1,68.3,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,7955.0,8.2,8.7,1.7,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Hindu,6.4,13.1,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,11360.0,8.2,8.7,1.8,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Hindu,23.8,18.6,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,26505.0,8.2,8.7,3.9,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Hindu,21.7,47.4,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,22245.0,8.2,8.7,1.7,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Hindu,18.0,39.8,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,7200.0,8.2,8.7,2.3,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Hindu,15.1,12.9,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,6755.0,8.2,8.7,0.9,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Hindu,5.5,45.0,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,7695.0,8.2,8.7,0.6,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Hindu,6.2,51.3,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,555.0,8.2,8.7,0.8,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Hindu,1.2,3.7,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,28165.0,8.2,8.7,2.0,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Hindu,23.1,28.0,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,68240.0,8.2,8.7,0.8,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Hindu,55.2,67.9,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,4075.0,8.2,8.7,1.0,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Hindu,8.5,4.1,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,11180.0,8.2,8.7,2.4,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Hindu,9.2,40.4,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,6865.0,8.2,8.7,1.4,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Hindu,5.6,24.8,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,9610.0,8.2,8.7,1.7,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Hindu,20.1,34.7,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,630.0,8.2,8.7,0.2,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Jewish,2.9,13.0,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,1830.0,8.2,8.7,0.3,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Jewish,3.2,37.8,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2380.0,8.2,8.7,0.3,Wales,Unemployed,18.4,33.8,White: Other White,22.2,48.3,Jewish,20.3,49.2,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,9770.0,8.2,8.7,0.6,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Jewish,45.2,60.5,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,2895.0,8.2,8.7,0.6,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Jewish,5.0,17.9,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,3485.0,8.2,8.7,0.5,Wales,Economically Inactive - Student,18.4,33.8,White: Other White,22.2,48.3,Jewish,29.8,21.6,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,1710.0,8.2,8.7,0.3,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Jewish,7.9,18.5,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,6110.0,8.2,8.7,0.5,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Jewish,10.6,66.3,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,1395.0,8.2,8.7,0.5,Wales,Economically Inactive - Looking After Family/Home,18.4,33.8,White: Other White,22.2,48.3,Jewish,11.9,15.2,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,2030.0,8.2,8.7,0.3,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Jewish,9.4,35.7,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,3445.0,8.2,8.7,0.3,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Jewish,6.0,60.5,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,215.0,8.2,8.7,0.3,Wales,Economically Inactive - Long-term Sick or Disabled,18.4,33.8,White: Other White,22.2,48.3,Jewish,1.8,3.8,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,5975.0,8.2,8.7,0.4,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Jewish,27.6,12.1,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,75 and over,41230.0,8.2,8.7,0.5,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Jewish,71.5,83.7,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,75 and over,2070.0,8.2,8.7,0.5,Wales,Economically Inactive - Retired,18.4,33.8,White: Other White,22.2,48.3,Jewish,17.7,4.2,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,75 and over,1515.0,8.2,8.7,0.3,Wales,Economically Inactive - Other,18.4,33.8,White: Other White,22.2,48.3,Jewish,7.0,26.0,,,,,,,,,,,
